tag,network_id,n_controls,total_Q,rho,samples,GI_GI,GR_GI,GI_GI_over_GR_GI
rw_b1r10,17,34,34,10.0,1,0.00015465,0.00097089,0.15928684
rw_b1r10,18,22,22,10.0,1,0.00540647,0.06088027,0.08880496
rw_b1r10,19,23,23,10.0,1,0.00033142,0.00082887,0.39984557
rw_b1r10,20,30,30,10.0,1,0.49086237,0.99987719,0.49092266
rw_b1r10,21,16,16,10.0,1,0.00083861,0.00183211,0.45772907
rw_b1r10,22,27,27,10.0,1,0.00358049,0.05713692,0.06266509
rw_b1r5,0,7,26,5.0,1,0.00509859,0.01212624,0.42045927
rw_b1r5,1,8,29,5.0,1,0.00645532,0.07810048,0.08265404
rw_b1r5,2,11,43,5.0,1,0.52004362,0.99977286,0.52016177
rw_b1r5,3,11,11,5.0,1,0.00006625,0.00006625,1.00000000
