source,network_id,n_controls,total_Q,runtime_exact_s,runtime_stoch_s,iters_exact,iters_stoch,binary_work,nary_work,work_speedup,est_nary_runtime_s
b10r1,25,31,129,347.947889,373.998556,60500,82000,961,402,2.3905,145.5516
b10r1,26,41,111,667.746552,422.784974,99000,95000,893,340,2.6265,254.2372
b10r1,27,43,150,52.893154,342.973743,9155,45626,1040,625,1.6640,31.7868
b10r1,28,44,144,897.927149,205.666521,63500,56500,1145,614,1.8648,481.5085
b10r1,29,38,148,4.867783,23.179224,892,2387,1142,495,2.3071,2.1099
b10r1,30,44,100,247.755722,193.113347,56717,59060,702,416,1.6875,146.8182
b10r1,31,35,150,1162.589783,1040.885478,128500,118000,1263,702,1.7991,646.1900
b10r1,32,43,102,610.768930,253.064838,104500,88000,772,432,1.7870,341.7774
b10r1,33,37,122,951.944056,465.331134,138500,144000,861,500,1.7220,552.8130
b10r1,34,32,117,677.948121,380.919971,110000,110500,753,539,1.3970,485.2776
b10r1,35,42,133,3.555237,7.868041,551,2680,1059,460,2.3022,1.5443
b10r1,36,31,113,549.768829,1075.159086,129000,141500,640,506,1.2648,434.6610
b10r1,37,41,116,562.441696,505.937197,107442,107800,939,695,1.3511,416.2907
b10r1,38,42,126,12.729556,110.754595,2960,20837,928,518,1.7915,7.1055
b10r1,39,13,42,2.703705,24.979502,2313,18959,196,145,1.3517,2.0002
b10r1,40,14,45,179.867815,201.982042,88000,118000,227,97,2.3402,76.8598
b10r1,41,12,30,36.475345,76.792857,39250,71920,133,106,1.2547,29.0706
b10r1,42,14,36,51.009950,62.232913,39306,41507,162,141,1.1489,44.3975
b10r1,43,15,45,164.824856,195.076262,94000,116500,227,174,1.3046,126.3415
b10r5,0,13,46,0.105065,0.236804,85,99,182,75,2.4267,0.0433
b10r5,1,14,45,353.413986,525.208147,225338,259141,193,115,1.6783,210.5835
b10r5,2,13,31,180.202532,182.434225,154500,128000,116,96,1.2083,149.1331
b10r5,3,12,43,683.393488,247.893637,264000,264000,162,100,1.6200,421.8478
b10r5,4,14,47,704.350482,298.300413,288000,227000,195,118,1.6525,426.2223
b10r5,5,15,39,0.409917,0.782715,323,357,171,86,1.9884,0.2062
b10r5,6,14,46,72.115410,94.345973,47455,59783,202,134,1.5075,47.8389
b10r5,7,12,31,1.287603,2.339722,1484,1852,130,94,1.3830,0.9310
b10r5,8,14,49,68.379164,124.992622,38113,70943,218,159,1.3711,49.8729
b10r5,9,10,23,0.641336,0.833472,1056,1314,87,59,1.4746,0.4349
b10r5,10,12,38,300.273792,90.189130,145500,106500,204,80,2.5500,117.7544
b10r5,11,11,36,103.737618,63.029261,72477,72142,129,93,1.3871,74.7876
b10r5,12,14,45,0.639352,1.176476,464,486,199,100,1.9900,0.3213
b10r5,13,12,35,276.245176,64.307572,159500,88500,160,96,1.6667,165.7471
b10r5,14,14,34,0.396952,0.784992,377,425,150,76,1.9737,0.2011
b10r5,15,14,45,0.972262,1.226531,731,855,238,97,2.4536,0.3963
b10r5,16,10,27,53.362967,73.997091,50305,60620,96,71,1.3521,39.4664
b10r5,17,12,37,86.920051,61.729507,56949,61897,149,120,1.2417,70.0027
b10r5,18,10,20,130.959364,31.975591,122500,80000,84,37,2.2703,57.6845
b10r5,19,10,32,0.618308,0.948256,757,1005,116,77,1.5065,0.4104
b10r5,20,10,24,234.650916,150.252379,208000,200500,96,70,1.3714,171.0996
b10r5,21,11,25,146.036668,90.421552,131000,161000,93,57,1.6316,89.5063
b10r5,22,13,42,2.614206,4.036161,2237,2586,181,138,1.3116,1.9932
b10r5,23,14,37,0.112767,0.163506,105,103,159,83,1.9157,0.0589
b10r5,24,11,36,0.263680,0.263815,253,278,132,66,2.0000,0.1318
b10r5,25,31,129,1122.212798,1696.107365,190583,239937,961,402,2.3905,469.4376
b10r5,26,41,111,1549.461943,1114.082748,229000,248000,893,340,2.6265,589.9407
b10r5,27,43,150,9.238103,14.494920,1613,1864,1040,625,1.6640,5.5517
b10r5,28,44,144,1780.817896,485.207994,143500,130500,1145,614,1.8648,954.9539
b10r5,29,38,148,2.728557,5.795700,522,550,1142,495,2.3071,1.1827
b10r5,30,44,100,193.529023,229.172353,46196,70382,702,416,1.6875,114.6839
b10r5,31,35,150,3171.850682,2757.847403,378500,305000,1263,702,1.7991,1762.9764
b10r5,32,43,102,1229.879790,681.217692,230000,241500,772,432,1.7870,688.2229
b10r5,33,37,122,2275.466723,1244.016508,349500,388500,861,500,1.7220,1321.4092
b10r5,34,32,117,1726.542643,991.184840,293000,298500,753,539,1.3970,1235.8652
b10r5,35,42,133,6.169472,2.461725,1041,862,1059,460,2.3022,2.6798
b10r5,36,31,113,248.903446,561.035002,59996,75850,640,506,1.2648,196.7893
b10r5,37,41,116,424.541498,425.374507,85904,94563,939,695,1.3511,314.2240
b10r5,38,42,126,7.050329,14.186500,1701,2631,928,518,1.7915,3.9354
b10r5,39,13,42,0.516571,0.559887,406,382,196,145,1.3517,0.3822
b10r5,40,14,45,462.419378,477.517162,234500,291856,227,97,2.3402,197.5977
b10r5,41,12,30,14.507655,21.454862,13819,17349,133,106,1.2547,11.5625
b10r5,42,14,36,15.470121,20.859751,11780,13015,162,141,1.1489,13.4647
b10r5,43,15,45,429.101602,566.613160,244768,295442,227,174,1.3046,328.9149
b1r10,0,13,46,0.008753,0.036953,5,16,182,75,2.4267,0.0036
b1r10,1,14,45,41.355646,88.105385,24980,55579,193,115,1.6783,24.6420
b1r10,2,13,31,39.437390,77.008204,34093,76031,116,96,1.2083,32.6378
b1r10,3,12,43,526.773420,262.679045,247561,393726,162,100,1.6200,325.1688
b1r10,4,14,47,448.854466,263.241560,198771,273211,195,118,1.6525,271.6145
b1r10,5,15,39,0.114697,0.428451,83,308,171,86,1.9884,0.0577
b1r10,6,14,46,21.499174,27.450765,13831,25610,202,134,1.5075,14.2618
b1r10,7,12,31,0.557958,0.957310,601,1338,130,94,1.3830,0.4034
b1r10,8,14,49,38.176827,33.885170,20575,27961,218,159,1.3711,27.8446
b1r10,9,10,23,0.271425,0.331021,378,698,87,59,1.4746,0.1841
b1r10,10,12,38,458.053279,249.777516,242500,357500,204,80,2.5500,179.6287
b1r10,11,11,36,27.591267,13.099305,20591,22894,129,93,1.3871,19.8914
b1r10,12,14,45,0.146359,0.406546,100,235,199,100,1.9900,0.0735
b1r10,13,12,35,127.027740,52.134262,77482,119277,160,96,1.6667,76.2166
b1r10,14,14,34,0.086973,0.270842,83,230,150,76,1.9737,0.0441
b1r10,15,14,45,0.246862,0.505938,169,354,238,97,2.4536,0.1006
b1r10,16,10,27,15.092241,26.173375,13935,29876,96,71,1.3521,11.1620
b1r10,17,12,37,21.777066,10.015349,14221,17179,149,120,1.2417,17.5386
b1r10,18,10,20,254.765463,35.355661,240500,156500,84,37,2.2703,112.2181
b1r10,19,10,32,0.779778,1.507701,701,1717,116,77,1.5065,0.5176
b1r10,20,10,24,198.338202,132.882238,171474,278767,96,70,1.3714,144.6216
b1r10,21,11,25,64.618826,89.122381,58534,238939,93,57,1.6316,39.6051
b1r10,22,13,42,1.497871,2.049241,1128,1377,181,138,1.3116,1.1420
b1r10,23,14,37,0.019849,0.305393,16,206,159,83,1.9157,0.0104
b1r10,24,11,36,0.063382,0.115190,52,114,132,66,2.0000,0.0317
b1r10,25,31,129,219.201145,557.447094,37987,91585,961,402,2.3905,91.6950
b1r10,26,41,111,2293.781383,1122.328945,327500,500000,893,340,2.6265,873.3322
b1r10,27,43,150,4.206536,10.026675,650,1314,1040,625,1.6640,2.5280
b1r10,28,44,144,2438.041039,673.481269,214000,310000,1145,614,1.8648,1307.3862
b1r10,30,44,100,45.507999,70.573919,10777,41018,702,416,1.6875,26.9677
b1r10,31,35,150,731.820883,846.192140,94833,146754,1263,702,1.7991,406.7603
b1r10,32,43,102,1700.446358,869.090826,346000,500000,772,432,1.7870,951.5451
b1r10,33,37,122,1699.012137,912.933266,254040,414650,861,500,1.7220,986.6505
b1r10,34,32,117,1708.708073,924.959498,287120,394024,753,539,1.3970,1223.0991
b1r10,35,42,133,6.869607,9.768473,1160,4952,1059,460,2.3022,2.9840
b1r10,36,31,113,91.861025,177.673159,21372,33178,640,506,1.2648,72.6276
b1r10,37,41,116,102.021772,70.812731,21260,37684,939,695,1.3511,75.5113
b1r10,38,42,126,5.790164,15.301591,1220,4208,928,518,1.7915,3.2320
b1r10,39,13,42,0.094645,0.466585,62,457,196,145,1.3517,0.0700
b1r10,40,14,45,115.527564,143.664097,56562,98795,227,97,2.3402,49.3664
b1r10,41,12,30,6.013343,21.247726,5530,22740,133,106,1.2547,4.7926
b1r10,42,14,36,10.220383,17.212096,7695,20984,162,141,1.1489,8.8955
b1r10,43,15,45,68.819398,93.392109,39171,68989,227,174,1.3046,52.7514
b1r1,0,13,46,0.926566,13.493989,873,11132,182,75,2.4267,0.3818
b1r1,1,14,45,175.157625,123.337562,132500,153000,193,115,1.6783,104.3685
b1r1,2,13,31,121.248385,120.883167,120000,154500,116,96,1.2083,100.3435
b1r1,3,12,43,201.712433,71.586631,82500,109500,162,100,1.6200,124.5138
b1r1,4,14,47,248.931215,82.619149,100500,89000,195,118,1.6525,150.6353
b1r1,5,15,39,0.934544,32.465576,631,23994,171,86,1.9884,0.4700
b1r1,6,14,46,105.698613,220.510645,64410,245000,202,134,1.5075,70.1169
b1r1,7,12,31,1.958901,48.544147,1892,66656,130,94,1.3830,1.4164
b1r1,8,14,49,105.061943,210.271650,59925,227000,218,159,1.3711,76.6277
b1r1,9,10,23,1.280153,6.995699,2230,20588,87,59,1.4746,0.8681
b1r1,10,12,38,123.311879,24.930879,60000,45000,204,80,2.5500,48.3576
b1r1,11,11,36,157.244978,46.674895,111000,89000,129,93,1.3871,113.3627
