source,network_id,n_controls,total_Q,binary_work,nary_work,work_speedup,runtime_exact_s,iters_exact,est_nary_runtime_s
b10r10,8,14,49,218,159,1.3711,37.913393,20575,27.6524
b10r10,9,10,23,87,59,1.4746,0.271763,378,0.1843
b10r10,10,12,38,204,80,2.5500,455.142458,242500,178.4872
b10r10,11,11,36,129,93,1.3871,27.357458,20591,19.7228
b10r10,12,14,45,199,100,1.9900,0.144410,100,0.0726
b10r10,13,12,35,160,96,1.6667,126.319117,77482,75.7915
b10r10,14,14,34,150,76,1.9737,0.086417,83,0.0438
b10r10,15,14,45,238,97,2.4536,0.242949,169,0.0990
b10r10,16,10,27,96,71,1.3521,14.973117,13935,11.0739
b10r10,17,12,37,149,120,1.2417,21.686205,14221,17.4654
b10r10,18,10,20,84,37,2.2703,252.767026,240500,111.3379
b10r10,19,10,32,116,77,1.5065,0.770006,701,0.5111
b10r10,20,10,24,96,70,1.3714,196.983532,171474,143.6338
b10r10,21,11,25,93,57,1.6316,63.876979,58534,39.1504
b10r10,22,13,42,181,138,1.3116,1.496238,1128,1.1408
b10r10,23,14,37,159,83,1.9157,0.019689,16,0.0103
b10r10,24,11,36,132,66,2.0000,0.063041,52,0.0315
b10r10,25,31,129,961,402,2.3905,218.253964,37987,91.2987
b10r10,26,41,111,893,340,2.6265,2285.299712,327500,870.1029
b10r10,27,43,150,1040,625,1.6640,4.181310,650,2.5128
b10r10,28,44,144,1145,614,1.8648,2432.899680,214000,1304.6292
b10r10,29,38,148,1142,495,2.3071,0.857056,155,0.3715
b10r10,30,44,100,702,416,1.6875,45.311399,10777,26.8512
b10r10,31,35,150,1263,702,1.7991,728.903511,94833,405.1388
b10r10,32,43,102,772,432,1.7870,1688.001993,346000,944.5814
b10r10,33,37,122,861,500,1.7220,1686.586969,254040,979.4349
b10r10,34,32,117,753,539,1.3970,1702.304937,287120,1218.5158
b10r10,35,42,133,1059,460,2.3022,6.643057,1160,2.8856
b10r10,36,31,113,640,506,1.2648,89.141731,21372,70.4777
b10r10,37,41,116,939,695,1.3511,101.466440,21260,75.1003
b10r10,38,42,126,928,518,1.7915,5.730455,1220,3.1987
b10r10,39,13,42,196,145,1.3517,0.089639,62,0.0663
b10r10,40,14,45,227,97,2.3402,113.684053,56562,48.5786
b10r10,41,12,30,133,106,1.2547,5.870969,5530,4.6791
b10r10,42,14,36,162,141,1.1489,10.003832,7695,8.7070
b10r10,43,15,45,227,174,1.3046,68.053894,39171,52.1647
b10r1,0,13,46,182,75,2.4267,0.961069,873,0.3960
b10r1,1,14,45,193,115,1.6783,178.897371,132500,106.5969
b10r1,2,13,31,116,96,1.2083,126.242869,120000,104.4769
b10r1,3,12,43,162,100,1.6200,201.511665,82500,124.3899
b10r1,4,14,47,195,118,1.6525,252.445614,100500,152.7620
b10r1,5,15,39,171,86,1.9884,0.732460,631,0.3684
b10r1,6,14,46,202,134,1.5075,84.334629,64410,55.9448
b10r1,7,12,31,130,94,1.3830,1.560868,1892,1.1286
b10r1,8,14,49,218,159,1.3711,102.013549,59925,74.4044
b10r1,9,10,23,87,59,1.4746,1.338454,2230,0.9077
b10r1,10,12,38,204,80,2.5500,125.968889,60000,49.3996
b10r1,11,11,36,129,93,1.3871,157.183100,111000,113.3180
b10r1,12,14,45,199,100,1.9900,1.508465,1105,0.7580
b10r1,13,12,35,160,96,1.6667,85.696007,49500,51.4176
b10r1,14,14,34,150,76,1.9737,0.780449,797,0.3954
b10r1,15,14,45,238,97,2.4536,5.069506,3825,2.0661
b10r1,16,10,27,96,71,1.3521,93.457752,102371,69.1198
b10r1,17,12,37,149,120,1.2417,110.552350,74213,89.0354
b10r1,18,10,20,84,37,2.2703,60.046058,56500,26.4489
b10r1,19,10,32,116,77,1.5065,0.573852,715,0.3809
b10r1,20,10,24,96,70,1.3714,95.284882,84500,69.4786
b10r1,21,11,25,93,57,1.6316,86.966690,79000,53.3022
b10r1,22,13,42,181,138,1.3116,6.210952,5334,4.7354
b10r1,23,14,37,159,83,1.9157,0.664370,666,0.3468
b10r1,24,11,36,132,66,2.0000,1.642206,1636,0.8211
b10r1,25,31,129,961,402,2.3905,347.947889,60500,145.5516
b10r1,26,41,111,893,340,2.6265,667.746552,99000,254.2372
b10r1,27,43,150,1040,625,1.6640,52.893154,9155,31.7868
b10r1,28,44,144,1145,614,1.8648,897.927149,63500,481.5085
b10r1,29,38,148,1142,495,2.3071,4.867783,892,2.1099
b10r1,30,44,100,702,416,1.6875,247.755722,56717,146.8182
b10r1,31,35,150,1263,702,1.7991,1162.589783,128500,646.1900
b10r1,32,43,102,772,432,1.7870,610.768930,104500,341.7774
b10r1,33,37,122,861,500,1.7220,951.944056,138500,552.8130
b10r1,34,32,117,753,539,1.3970,677.948121,110000,485.2776
b10r1,35,42,133,1059,460,2.3022,3.555237,551,1.5443
b10r1,36,31,113,640,506,1.2648,549.768829,129000,434.6610
b10r1,37,41,116,939,695,1.3511,562.441696,107442,416.2907
b10r1,38,42,126,928,518,1.7915,12.729556,2960,7.1055
b10r1,39,13,42,196,145,1.3517,2.703705,2313,2.0002
b10r1,40,14,45,227,97,2.3402,179.867815,88000,76.8598
b10r1,41,12,30,133,106,1.2547,36.475345,39250,29.0706
b10r1,42,14,36,162,141,1.1489,51.009950,39306,44.3975
b10r1,43,15,45,227,174,1.3046,164.824856,94000,126.3415
b10r5,0,13,46,182,75,2.4267,0.105065,85,0.0433
b10r5,1,14,45,193,115,1.6783,353.413986,225338,210.5835
b10r5,2,13,31,116,96,1.2083,180.202532,154500,149.1331
b10r5,3,12,43,162,100,1.6200,683.393488,264000,421.8478
b10r5,4,14,47,195,118,1.6525,704.350482,288000,426.2223
b10r5,5,15,39,171,86,1.9884,0.409917,323,0.2062
b10r5,6,14,46,202,134,1.5075,72.115410,47455,47.8389
b10r5,7,12,31,130,94,1.3830,1.287603,1484,0.9310
b10r5,8,14,49,218,159,1.3711,68.379164,38113,49.8729
b10r5,9,10,23,87,59,1.4746,0.641336,1056,0.4349
b10r5,10,12,38,204,80,2.5500,300.273792,145500,117.7544
b10r5,11,11,36,129,93,1.3871,103.737618,72477,74.7876
b10r5,12,14,45,199,100,1.9900,0.639352,464,0.3213
b10r5,13,12,35,160,96,1.6667,276.245176,159500,165.7471
b10r5,14,14,34,150,76,1.9737,0.396952,377,0.2011
b10r5,15,14,45,238,97,2.4536,0.972262,731,0.3963
b10r5,16,10,27,96,71,1.3521,53.362967,50305,39.4664
b10r5,17,12,37,149,120,1.2417,86.920051,56949,70.0027
b10r5,18,10,20,84,37,2.2703,130.959364,122500,57.6845
b10r5,19,10,32,116,77,1.5065,0.618308,757,0.4104
b10r5,20,10,24,96,70,1.3714,234.650916,208000,171.0996
b10r5,21,11,25,93,57,1.6316,146.036668,131000,89.5063
b10r5,22,13,42,181,138,1.3116,2.614206,2237,1.9932
b10r5,23,14,37,159,83,1.9157,0.112767,105,0.0589
b10r5,24,11,36,132,66,2.0000,0.263680,253,0.1318
b10r5,25,31,129,961,402,2.3905,1122.212798,190583,469.4376
b10r5,26,41,111,893,340,2.6265,1549.461943,229000,589.9407
b10r5,27,43,150,1040,625,1.6640,9.238103,1613,5.5517
b10r5,28,44,144,1145,614,1.8648,1780.817896,143500,954.9539
b10r5,29,38,148,1142,495,2.3071,2.728557,522,1.1827
b10r5,30,44,100,702,416,1.6875,193.529023,46196,114.6839
b10r5,31,35,150,1263,702,1.7991,3171.850682,378500,1762.9764
b10r5,32,43,102,772,432,1.7870,1229.879790,230000,688.2229
b10r5,33,37,122,861,500,1.7220,2275.466723,349500,1321.4092
b10r5,34,32,117,753,539,1.3970,1726.542643,293000,1235.8652
b10r5,35,42,133,1059,460,2.3022,6.169472,1041,2.6798
b10r5,36,31,113,640,506,1.2648,248.903446,59996,196.7893
b10r5,37,41,116,939,695,1.3511,424.541498,85904,314.2240
b10r5,38,42,126,928,518,1.7915,7.050329,1701,3.9354
b10r5,39,13,42,196,145,1.3517,0.516571,406,0.3822
b10r5,40,14,45,227,97,2.3402,462.419378,234500,197.5977
b10r5,41,12,30,133,106,1.2547,14.507655,13819,11.5625
b10r5,42,14,36,162,141,1.1489,15.470121,11780,13.4647
b10r5,43,15,45,227,174,1.3046,429.101602,244768,328.9149
b1r10,0,13,46,182,75,2.4267,0.008753,5,0.0036
b1r10,1,14,45,193,115,1.6783,41.355646,24980,24.6420
b1r10,2,13,31,116,96,1.2083,39.437390,34093,32.6378
b1r10,3,12,43,162,100,1.6200,526.773420,247561,325.1688
b1r10,4,14,47,195,118,1.6525,448.854466,198771,271.6145
b1r10,5,15,39,171,86,1.9884,0.114697,83,0.0577
b1r10,6,14,46,202,134,1.5075,21.499174,13831,14.2618
b1r10,7,12,31,130,94,1.3830,0.557958,601,0.4034
b1r10,8,14,49,218,159,1.3711,38.176827,20575,27.8446
b1r10,9,10,23,87,59,1.4746,0.271425,378,0.1841
b1r10,10,12,38,204,80,2.5500,458.053279,242500,179.6287
