source,network_id,n_controls,total_Q,runtime_exact_s,runtime_stoch_s,iters_exact,iters_stoch
rw_b100r1,5,18,18,0.131102,7.078832,74,166
rw_b100r1,6,45,45,1066.525837,26779.668305,82500,82000
rw_b100r1,7,25,25,0.002170,0.119453,1,1
rw_b100r1,8,9,9,0.008357,0.530137,20,69
rw_b100r1,9,27,27,0.097835,6.099580,55,127
rw_b100r1,10,6,6,0.000225,0.000922,1,1
rw_b100r1,11,21,21,0.015782,0.316185,14,31
rw_b100r1,12,22,22,33.389957,1417.719799,16172,18766
rw_b100r1,13,53,53,0.001614,0.004038,1,1
rw_b100r1,14,25,25,242.508175,6745.971745,99411,109221
rw_b100r1,15,10,10,0.058850,1.785043,127,175
rw_b100r1,16,23,23,0.007085,0.087564,4,1
rw_b100r1,17,34,34,0.006303,2.940838,2,10
rw_b100r1,18,22,22,32.692759,1419.776873,16172,18766
rw_b100r1,19,23,23,0.003702,2.346497,2,30
rw_b100r1,20,30,30,151.777624,773.532236,38500,38500
rw_b100r1,21,16,16,0.026810,2.600904,24,75
rw_b100r1,22,27,27,14.334554,324.514133,7986,8968
rw_b100r5,0,7,26,0.137219,0.806537,153,140
rw_b100r5,1,8,29,1.652588,6.787005,1636,1606
rw_b100r5,2,11,43,320.525801,239.608650,121500,81500
rw_b100r5,3,11,11,0.000660,0.006212,1,1
rw_b100r5,4,12,37,960.822052,2629.676997,330000,320500
rw_b100r5,5,18,18,0.186336,12.338719,107,294
rw_b100r5,6,45,45,3020.685395,65861.550322,237000,231500
rw_b100r5,7,25,25,0.011973,0.116366,5,1
rw_b100r5,8,9,9,0.015857,1.515791,38,205
rw_b100r5,9,27,27,0.161673,14.903426,91,328
rw_b100r5,10,6,6,0.000219,0.000890,1,1
rw_b100r5,11,21,21,0.033019,0.761841,30,77
rw_b100r5,12,22,22,26.908944,1274.575805,13255,17556
rw_b100r5,13,53,53,0.001533,0.003869,1,1
rw_b100r5,14,25,25,348.626112,8716.951023,143675,161271
rw_b100r5,15,10,10,0.070897,2.971368,150,304
rw_b100r5,16,23,23,0.024833,0.082586,12,1
rw_b100r5,17,34,34,0.052867,53.020531,12,191
rw_b100r5,18,22,22,26.768702,1270.572250,13255,17556
rw_b100r5,19,23,23,0.026408,6.588474,13,86
rw_b100r5,20,30,30,246.014332,1543.796330,64000,79000
rw_b100r5,21,16,16,0.066403,6.078543,58,181
rw_b100r5,22,27,27,8.039012,186.803661,4425,5326
rw_b10r10,0,7,26,0.014486,0.039710,15,25
rw_b10r10,1,8,29,0.620871,0.587347,605,542
rw_b10r10,2,11,43,611.284945,212.519355,241000,218000
rw_b10r10,3,11,11,0.000659,0.000917,1,1
rw_b10r10,4,12,37,670.325167,406.465671,231899,263823
rw_b10r10,5,18,18,0.187625,0.037391,106,8
rw_b10r10,6,45,45,3680.734254,11009.422231,287737,298500
rw_b10r10,7,25,25,0.028795,0.015570,9,1
rw_b10r10,8,9,9,0.031313,2.049798,52,1833
rw_b10r10,9,27,27,0.142765,0.006707,62,1
rw_b10r10,10,6,6,0.000279,0.000275,1,1
rw_b10r10,11,21,21,0.066389,0.002171,44,1
rw_b10r10,12,22,22,11.222135,310.400630,4249,30955
rw_b10r10,13,53,53,0.002147,0.001914,1,1
rw_b10r10,14,25,25,181.834464,839.370839,57657,116884
rw_b10r10,15,10,10,0.059755,2.619391,92,1839
rw_b10r10,16,23,23,0.031810,0.011553,12,1
rw_b10r10,17,34,34,0.064324,121.692991,11,3257
rw_b10r10,18,22,22,11.221683,312.481443,4249,30955
rw_b10r10,19,23,23,0.056315,0.010841,21,1
rw_b10r10,20,30,30,449.476994,290.757575,91500,98000
rw_b10r10,21,16,16,0.112600,6.457539,78,1382
rw_b10r10,22,27,27,2.020907,26.565467,828,4958
rw_b10r1,0,7,26,5.845944,7.582548,7178,7213
rw_b10r1,1,8,29,2.771325,11.526996,2865,11237
rw_b10r1,2,11,43,124.717710,24.788027,40500,34000
rw_b10r1,3,11,11,0.000813,0.000824,1,1
rw_b10r1,4,12,37,331.846609,164.717236,110000,103000
rw_b10r1,5,18,18,0.132271,4.692473,74,1023
rw_b10r1,6,45,45,1070.569481,2907.375734,82500,73000
rw_b10r1,7,25,25,0.002919,0.017200,1,1
rw_b10r1,8,9,9,0.011710,0.525655,20,447
rw_b10r1,9,27,27,0.131303,0.007312,55,1
rw_b10r1,10,6,6,0.000312,0.000306,1,1
rw_b10r1,11,21,21,0.021848,0.002316,14,1
rw_b10r1,12,22,22,43.399066,396.383077,16172,37648
rw_b10r1,13,53,53,0.002256,0.002003,1,1
rw_b10r1,14,25,25,317.786610,1108.369039,99411,126329
rw_b10r1,15,10,10,0.079881,1.329013,127,900
